"DIN471def"
"Dia","S","d_3","a_Max","b","d5_Min","groove_dia"
"78 mm",2.5,73.5,8.6,7.3,3,75
"80 mm",2.5,74.5,8.6,7.4,3,76.5
"82 mm",2.5,76.5,8.7,7.6,3,78.5
"85 mm",3,79.5,8.7,7.8,3.5,81.5
"87 mm",3,81.5,8.8,7.9,3.5,83.5
"88 mm",3,82.5,8.8,8,3.5,84.5
"90 mm",3,84.5,8.8,8.2,3.5,86.5
"92 mm",3,86.5,9,8.4,3.5,88.5
"95 mm",3,89.5,9.4,8.6,3.5,91.5
"97 mm",3,91.5,9.4,8.8,3.5,93.5
"98 mm",3,92.5,9.5,9,3.5,94.5
"100 mm",3,94.5,9.6,9,3.5,96.5
"102 mm",4,95,9.7,9.2,3.5,98
"105 mm",4,98,9.9,9.3,3.5,101
"107 mm",4,100,10,9.5,3.5,103
"108 mm",4,101,10,9.5,3.5,104
"110 mm",4,103,10.1,9.6,3.5,106
"112 mm",4,105,10.3,9.7,3.5,108
"115 mm",4,108,10.6,9.8,3.5,111
"117 mm",4,110,10.8,10,3.5,113
"118 mm",4,111,10.9,10.1,3.5,114
"120 mm",4,113,11,10.2,3.5,116
"122 mm",4,115,11.2,10.3,4,118
"125 mm",4,118,11.4,10.4,4,121
"127 mm",4,120,11.4,10.5,4,123
"128 mm",4,121,11.5,10.6,4,124
"130 mm",4,123,11.6,10.7,4,126
"132 mm",4,125,11.7,10.8,4,128
"135 mm",4,128,11.8,11,4,131
"137 mm",4,130,11.9,11,4,133
"138 mm",4,131,11.9,11.1,4,134
"140 mm",4,133,12,11.2,4,136
"142 mm",4,135,12.1,11.3,4,138
"145 mm",4,138,12.2,11.5,4,141
"147 mm",4,140,12.3,11.6,4,143
"148 mm",4,141,12.4,11.7,4,144
"150 mm",4,142,13,11.8,4,145
"155 mm",4,146,13,12,4,150
"160 mm",4,151,13.3,12.2,4,155
"165 mm",4,155.5,13.5,12.5,4,160
"170 mm",4,160.5,13.5,12.9,4,165
"175 mm",4,165.5,13.5,12.9,4,170
"180 mm",4,170.5,14.2,13.5,4,175
"185 mm",4,175.5,14.2,13.5,4,180
"190 mm",4,180.5,14.2,14,4,185
"195 mm",4,185.5,14.2,14,4,190
"200 mm",4,190.5,14.2,14,4,195
"210 mm",5,198,14.2,14,4,204
"215 mm",5,203,14.2,14,4,209
"220 mm",5,208,14.2,14,4,214
"230 mm",5,218,14.2,14,4,224
"240 mm",5,228,14.2,14,4,234
"250 mm",5,238,14.2,14,4,244
"255 mm",5,240,16.2,16,5,247
"260 mm",5,245,16.2,16,5,252
"270 mm",5,255,16.2,16,5,262
"280 mm",5,265,16.2,16,5,272
"290 mm",5,275,16.2,16,5,282
"300 mm",5,285,16.2,16,5,292
